wav_filename,Transcript,WACC,WER_class,BLUE,WER,WACC_class,Blue_class,Blue_class_original,WER_class_original,WACC_class_original,WACC_original,WER_original,BLUE_original
/kaggle/working/datavoice/arctic_a0002.wav,not at this particular case tom apologized whittemore,77.7777777777778,avg,0.7259795291154771,0.2222222222222222,avg,avg,low,low,low,66.66666666666667,0.3333333333333333,0.4671379777282001
/kaggle/working/datavoice/arctic_a0003.wav,for the twentieth time that evening the two men shook hands,100.0,high,1.0,0.0,high,high,high,high,high,100.0,0.0,1.0
/kaggle/working/datavoice/arctic_a0004.wav, lord but im glad to see you again phil,60.0,low,0.4111336169005197,0.4,low,low,low,low,low,60.0,0.4,0.4111336169005197
/kaggle/working/datavoice/arctic_a0005.wav,will we again forget it,80.0,avg,0.6042750794713536,0.2,avg,low,avg,avg,avg,80.0,0.2,0.668740304976422
/kaggle/working/datavoice/arctic_a0006.wav,god bless em i hope ill go on seeing them forever,81.81818181818181,avg,0.4497332084013506,0.18181818181818185,avg,low,low,low,low,66.66666666666667,0.3333333333333333,0.28646290158800986
/kaggle/working/datavoice/arctic_a0007.wav,and you always want to see it in the superlative degree,100.0,high,1.0,0.0,high,high,high,high,high,100.0,0.0,1.0
/kaggle/working/datavoice/arctic_a0008.wav,gad your letter came just in time,100.0,high,1.0,0.0,high,high,high,high,high,100.0,0.0,1.0
/kaggle/working/datavoice/arctic_a0009.wav,he turned sharply and faced gregson across the table,77.7777777777778,avg,0.7259795291154771,0.2222222222222222,avg,avg,low,low,low,-39.99999999999999,1.4,0.2526762451280852
/kaggle/working/datavoice/arctic_a0010.wav,im playing a single hand in what looks like a losing game,91.66666666666666,high,0.9036020036098448,0.08333333333333333,high,high,high,high,high,91.66666666666666,0.08333333333333333,0.9036020036098448
/kaggle/working/datavoice/arctic_a0011.wav,if i ever needed a fighter in my life i need one now,85.71428571428572,avg,0.6997522298221912,0.14285714285714285,avg,avg,high,high,high,100.0,0.0,1.0
/kaggle/working/datavoice/arctic_a0012.wav,gregson shoved back his chair and rose to his feet,81.81818181818181,avg,0.7860753021519787,0.18181818181818185,avg,avg,avg,avg,avg,77.7777777777778,0.2222222222222222,0.7725505949016372
/kaggle/working/datavoice/arctic_a0013.wav,he was a head shorter than his companion of almost delicate physique,84.61538461538461,avg,0.7016035864257111,0.15384615384615385,avg,avg,high,high,high,100.0,0.0,1.0
/kaggle/working/datavoice/arctic_a0014.wav,now youre coming down to business phil he exclaimed,70.0,low,0.3246679154750989,0.3,low,low,low,low,low,70.0,0.3,0.3246679154750989
/kaggle/working/datavoice/arctic_a0015.wav,its the aurora borealis,40.0,low,0.7952707287670506,0.6,low,avg,low,low,low,0.0,1.0,0.5444460596606694
/kaggle/working/datavoice/arctic_a0016.wav,theres fort churchill a rifle shot beyond the ridge asleep,70.0,low,0.6389431042462724,0.3,low,low,low,low,low,14.28571428571429,0.8571428571428571,0.2678284959130087
/kaggle/working/datavoice/arctic_a0017.wav,from that moment his friendship for belize turns to hatred and jealousy,83.33333333333334,avg,0.6340466277046861,0.16666666666666666,avg,low,high,high,high,100.0,0.0,1.0
/kaggle/working/datavoice/arctic_a0018.wav,there was a change now,100.0,high,1.0,0.0,high,high,low,low,low,66.66666666666667,0.3333333333333333,0.5081327481546147
/kaggle/working/datavoice/arctic_a0019.wav,i followed the line of the proposed railroad looking for chances,100.0,high,1.0,0.0,high,high,low,avg,avg,80.0,0.2,0.6398166741645538
/kaggle/working/datavoice/arctic_a0020.wav,clubs and balls and cities grew to be only memories,100.0,high,1.0,0.0,high,high,low,low,low,28.57142857142857,0.7142857142857143,0.4004970149398301
/kaggle/working/datavoice/arctic_a0021.wav,it fairly clubbed me into recognizing it,100.0,high,1.0,0.0,high,high,high,high,high,100.0,0.0,1.0
/kaggle/working/datavoice/arctic_a0022.wav,hardly were our plans made public before we were met by powerful opposition,75.0,avg,0.7425271143743541,0.25,avg,avg,avg,avg,avg,84.61538461538461,0.15384615384615385,0.7539221180326288
/kaggle/working/datavoice/arctic_a0023.wav,a combination of canadian capital quickly organized and petitioned for the same privileges,92.30769230769228,high,0.7611606003349892,0.07692307692307693,high,avg,high,high,high,100.0,0.0,1.0
